actor.name;timestamp;result.duration;verb.name;verb.id;object.name;activity.name;context.name;result.response;result.success
Person 1;15.9.2023 18:06;PT0S;started;http://activitystrea.ms/schema/1.0/start;Game;Escape room test;Databases;;FALSE
Person 1;15.9.2023 18:07;PT36S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 1;Escape room test;Databases;sleep.time(2);FALSE
Person 1;15.9.2023 18:07;PT39S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 1;Escape room test;Databases;sleep.time(2);FALSE
Person 1;15.9.2023 18:07;PT52S;passed;http://adlnet.gov/expapi/verbs/passed;Puzzle 1;Escape room test;Databases;time.sleep(2);FALSE
Person 1;15.9.2023 18:07;PT1M53S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;;FALSE
Person 1;15.9.2023 18:08;PT1M16S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;timesleep.remove();FALSE
Person 1;15.9.2023 18:08;PT1M20S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;strip();FALSE
Person 1;15.9.2023 18:08;PT1M30S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;timesleep.remove[ ];FALSE
Person 1;15.9.2023 18:08;PT1M32S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;timesleep.remove[ ];FALSE
Person 1;15.9.2023 18:08;PT2M44S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;timesleep.remove[(');FALSE
Person 1;15.9.2023 18:08;PT2M1S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;"timesleep.remove("""")";FALSE
Person 1;15.9.2023 18:08;PT2M8S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;s.strip();FALSE
Person 1;15.9.2023 18:09;PT2M26S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;s.split();FALSE
Person 1;15.9.2023 18:09;PT2M30S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;char.split();FALSE
Person 1;15.9.2023 18:09;PT3M38S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;split();FALSE
Person 1;15.9.2023 18:09;PT3M1S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;"timesleep.replace("" "", """")";FALSE
Person 1;15.9.2023 18:09;PT3M4S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;str.strip();FALSE
Person 1;15.9.2023 18:09;PT3M5S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;split.str();FALSE
Person 1;15.9.2023 18:09;PT3M10S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;split.char();FALSE
Person 1;15.9.2023 18:10;PT3M14S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;"replace("" "", """")";FALSE
Person 1;15.9.2023 18:10;PT4M35S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;strip.str();FALSE
Person 1;15.9.2023 18:11;PT4M26S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;"remove("" "", """")";FALSE
Person 1;15.9.2023 18:11;PT4M29S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;"remove("" "")";FALSE
Person 1;15.9.2023 18:11;PT4M33S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;variable.str();FALSE
Person 1;15.9.2023 18:11;PT4M46S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;strip.char();FALSE
Person 1;15.9.2023 18:11;PT4M51S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;strip.str();FALSE
Person 1;15.9.2023 18:11;PT5M59S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;str.strip();FALSE
Person 1;15.9.2023 18:12;PT5M19S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;str.strip();FALSE
Person 1;15.9.2023 18:12;PT5M23S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;strip();FALSE
Person 1;15.9.2023 18:12;PT5M23S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;variable.strip();FALSE
Person 1;15.9.2023 18:12;PT5M25S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;strip();FALSE
Person 1;15.9.2023 18:12;PT5M25S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;strip.string();FALSE
Person 1;15.9.2023 18:12;PT6M58S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;replace.strip();FALSE
Person 1;15.9.2023 18:12;PT6M1S;failed;http://adlnet.gov/expapi/verbs/failed;Puzzle 2;Escape room test;Databases;input.strip();FALSE
